date,sentiment_score,post_count
2026-01-04,0.69024324,1
2026-01-05,0.012976236,1
2026-01-06,0.6043243,2
2026-01-08,0.95830214,1
2026-01-09,0.9207919,1
2026-01-13,0.0310952,1
2026-01-14,0.98589516,1
2026-01-15,0.038765963,2
2026-01-16,0.2163366,1
2026-01-17,0.9928645,1
2026-01-19,0.5439238,2
2026-01-20,0.4996861,2
2026-01-21,0.87260485,4
2026-01-22,0.99498147,2
2026-01-23,0.71028256,3
2026-01-24,0.99298227,1
2026-01-25,0.98612833,1
2026-01-26,0.70029247,7
2026-01-27,0.9950261,2
2026-01-28,0.66680306,3
2026-01-29,0.9825306,3
2026-01-30,0.9489875,3
2026-01-31,0.52457654,2
2026-02-01,0.037761282,2
2026-02-02,0.6642671,3
2026-02-03,0.99066263,4
2026-02-04,0.97996473,3
2026-02-05,0.984903,5
2026-02-06,0.9947403,2
2026-02-07,0.9925559,1
2026-02-09,0.66435176,3
2026-02-10,0.7549609,4
2026-02-11,0.529415,7
2026-02-12,0.9949477,2
2026-02-13,0.73496825,4
2026-02-14,0.51537126,2
2026-02-15,0.018996261,1
2026-02-16,0.9950177,2
2026-02-17,0.60436916,7
2026-02-18,0.6193905,5
2026-02-19,0.56947345,4
2026-02-20,0.61142665,5
2026-02-21,0.99295956,1
2026-02-23,0.61267835,6
2026-02-24,0.9567814,3
2026-02-25,0.7459163,6
2026-02-26,0.664668,3
2026-02-27,0.77994627,4
2026-02-28,0.6617697,3
2026-03-01,0.13021602,1
2026-03-02,0.9948376,2
2026-03-03,0.5882729,5
2026-03-04,0.6850851,3
2026-03-05,0.5743866,9
2026-03-06,0.72672105,9
2026-03-07,0.95229626,3
2026-03-08,0.629388,2
2026-03-09,0.6974616,3
2026-03-10,0.718206,8
2026-03-11,0.70754504,8
2026-03-12,0.77295685,9
2026-03-13,0.6897963,13
2026-03-14,0.704988,10
2026-03-15,0.67004764,10
2026-03-16,0.7693004,10
2026-03-17,0.7944342,5
2026-03-18,0.63614374,8
2026-03-19,0.9706045,7
2026-03-20,0.8188728,7
2026-03-21,0.46729246,5
2026-03-22,0.2443962,4
2026-03-23,0.76101863,7
2026-03-24,0.91166586,6
2026-03-25,0.7550828,8
2026-03-26,0.81788224,7
2026-03-27,0.91539305,7
2026-03-28,0.6990865,18
2026-03-29,0.61920017,9
2026-03-30,0.7043507,18
2026-03-31,0.7636224,19
2026-04-01,0.8328962,14
2026-04-02,0.6054687,18
2026-04-03,0.614865,33
2026-04-04,0.5624069,31
2026-04-05,0.5465842,23
2026-04-06,0.5479964,44
2026-04-07,0.42473727,115
2026-04-08,0.5196147,122
2026-04-09,0.53474116,245
2026-04-10,0.55511886,273
2026-04-11,0.52928424,179
2026-04-12,0.4916828,171
2026-04-13,0.47936594,451
2026-04-14,0.576865,102
