date,sentiment_score,post_count,SMO
2026-01-04,0.69024324,1,
2026-01-05,0.012976236,1,
2026-01-06,0.6043243,2,
2026-01-08,0.95830214,1,
2026-01-09,0.9207919,1,
2026-01-13,0.0310952,1,
2026-01-14,0.98589516,1,
2026-01-15,0.038765963,2,
2026-01-16,0.2163366,1,
2026-01-17,0.9928645,1,
2026-01-19,0.5439238,2,
2026-01-20,0.4996861,2,
2026-01-21,0.87260485,4,
2026-01-22,0.99498147,2,
2026-01-23,0.71028256,3,
2026-01-24,0.99298227,1,
2026-01-25,0.98612833,1,
2026-01-26,0.70029247,7,
2026-01-27,0.9950261,2,
2026-01-28,0.66680306,3,0.19753113635815678
2026-01-29,0.9825306,3,0.18082643398083742
2026-01-30,0.9489875,3,0.1265977023169398
2026-01-31,0.52457654,2,0.09544190447777512
2026-02-01,0.037761282,2,-0.04998401850461964
2026-02-02,0.6642671,3,-0.03766496628522875
2026-02-03,0.99066263,4,-0.08401692993938925
2026-02-04,0.97996473,3,-0.07752495892345901
2026-02-05,0.984903,5,-0.03276652302592997
2026-02-06,0.9947403,2,0.11970909629017112
2026-02-07,0.9925559,1,0.1853822836652399
2026-02-09,0.66435176,3,0.11409871075302358
2026-02-10,0.7549609,4,0.056334202922880605
2026-02-11,0.529415,7,-0.017603898607194468
2026-02-12,0.9949477,2,-0.017560735903680347
2026-02-13,0.73496825,4,-0.07031255420297389
2026-02-14,0.51537126,2,-0.07622810360044241
2026-02-15,0.018996261,1,-0.17506442684680223
2026-02-16,0.9950177,2,-0.09668014962226157
2026-02-17,0.60436916,7,-0.15526300389319658
2026-02-18,0.6193905,5,-0.17600792665034526
2026-02-19,0.56947345,4,-0.14453463274985556
2026-02-20,0.61142665,5,-0.00917051304131744
2026-02-21,0.99295956,1,-0.03300129342824221
2026-02-23,0.61267835,6,-0.06008530966937542
2026-02-24,0.9567814,3,-0.007232842966914177
2026-02-25,0.7459163,6,0.040293045714497544
2026-02-26,0.664668,3,0.06670615561306481
2026-02-27,0.77994627,4,0.0343513328582048
2026-02-28,0.6617697,3,0.060818131640553386
2026-03-01,0.13021602,1,-0.06137794740498059
2026-03-02,0.9948376,2,-0.028117983415722803
2026-03-03,0.5882729,5,-0.03506260402500627
2026-03-04,0.6850851,3,-0.06181833930313585
2026-03-05,0.5743866,9,-0.05826690383255484
2026-03-06,0.72672105,9,0.06144646219909189
2026-03-07,0.95229626,3,0.031091947481036164
2026-03-08,0.629388,2,0.008795370906591438
2026-03-09,0.6974616,3,0.026148473471403033
2026-03-10,0.718206,8,0.04922051057219501
2026-03-11,0.70754504,8,0.04097758159041409
2026-03-12,0.77295685,9,-0.005064470320939929
2026-03-13,0.6897963,13,0.003098716586828254
2026-03-14,0.704988,10,0.019002573937177636
2026-03-15,0.67004764,10,0.006502439826726936
2026-03-16,0.7693004,10,0.02822756096720691
2026-03-17,0.7944342,5,0.030097135156393007
2026-03-18,0.63614374,8,0.020792832225561164
2026-03-19,0.9706045,7,0.06438321694731719
2026-03-20,0.8188728,7,0.0862930946052074
2026-03-21,0.46729246,5,0.009037683904170923
2026-03-22,0.2443962,4,-0.0634478457272053
2026-03-23,0.76101863,7,-0.04711015298962584
2026-03-24,0.91166586,6,-0.07022691443562512
2026-03-25,0.7550828,8,-0.09201972857117646
2026-03-26,0.81788224,7,-0.02645983174443245
2026-03-27,0.91539305,7,0.10958470031619072
2026-03-28,0.6990865,18,0.09371334537863729
2026-03-29,0.61920017,9,0.03913327977061265
2026-03-30,0.7043507,18,0.029679628461599328
2026-03-31,0.7636224,19,0.016023793071508474
2026-04-01,0.8328962,14,-0.003472549468278907
2026-04-02,0.6054687,18,-0.017979726940393403
2026-04-03,0.614865,33,-0.014340610057115621
2026-04-04,0.5624069,31,-0.03734733536839485
2026-04-05,0.5465842,23,-0.06961916759610176
2026-04-06,0.5479964,44,-0.11427723243832588
2026-04-07,0.42473727,115,-0.1398531921207904
2026-04-08,0.5196147,122,-0.1363537646830082
2026-04-09,0.53474116,245,-0.127680329233408
2026-04-10,0.55511886,273,-0.13036471530795102
2026-04-11,0.52928424,179,-0.1483515501022339
2026-04-12,0.4916828,171,-0.12149565368890758
2026-04-13,0.47936594,451,-0.10793040841817858
2026-04-14,0.576865,102,-0.09059474915266041
